url,ref_url,name,desc
https://zh-tw.facebook.com/people/%E9%BB%83%E5%86%A0%E5%AF%8C/100003465585331,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,黃冠富| Facebook,
https://www.facebook.com/people/%E5%BC%B5%E7%93%8A%E6%96%B9/100005883072766?hc_location=stream,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,張瓊方| Facebook,
https://zh-tw.facebook.com/jennk998,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,江俊宏| Facebook,
https://www.facebook.com/pages/%E5%BD%B0%E5%8C%96%E7%B8%A3%E8%AD%B0%E5%93%A1%E5%80%99%E9%81%B8%E4%BA%BA%E5%BC%B5%E4%BB%81%E5%9F%8E-%E5%93%A1%E6%9E%97%E5%A4%A7%E6%9D%91%E6%B0%B8%E9%9D%96/1464348900507120,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,彰化縣議員候選人張仁城〈員林、大村、永靖〉 | Facebook,
https://zh-tw.facebook.com/ghing.pei,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,林靜珮| Facebook,
http://zh-tw.facebook.com/people/zhang-ru-jun/100000162090819,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,張如君| Facebook,
https://zh-tw.facebook.com/people/%E8%B3%B4%E7%91%9E%E5%B1%B1/100003367039649,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,賴瑞山| Facebook,
https://zh-tw.facebook.com/people/%E6%A5%8A%E7%B6%93%E5%9C%8B/100001220662589,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,楊經國| Facebook,
https://zh-tw.facebook.com/people/%E5%BC%B5%E4%BB%81%E5%9F%8E/100003502938897,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,張仁城| Facebook,
https://zh-tw.facebook.com/people/%E9%BB%83%E5%BB%BA%E8%A8%AD/100003260619639,http://www.google.com/search?q=%E9%BB%83%E5%86%A0%E5%AF%8C+%E5%BD%B0%E5%8C%96%E7%B8%A3+facebook,黃建設| Facebook,
